R,G,B,SPAD,Nitorgen,Category,Normalized R,Normalized G,Normalized B,SR B/R,NDVI (cam),Excess NIRB
151.43067721,181.75855586,209.43435163,56.8769865405284,3.16445285718339,Normal,0.279071314774719,0.334962506210431,0.38596617901485,58.00367442,0.160735094244108,85.67947019
146.03759909,178.28327671,208.56567258,56.5227518720952,3.15279853659193,Normal,0.274050076013292,0.334561413216358,0.39138851077035,62.52807349,0.176332477688445,92.81046936
149.18847225,181.15754675,211.12550154,63.0922232373747,3.36893414450963,High,0.275524134863486,0.334565235433499,0.389910629703014,61.93702929,0.171897383380691,91.90498408
127.74728972,158.69110814,188.52384513,64.1731625451075,3.40449704773404,High,0.268963042021615,0.334113101582563,0.396923856395821,60.77655541,0.192165988966476,90.6092924
143.20863678,176.10505521,209.32930397,66.7347543226124,3.48877341721395,High,0.270898579711507,0.333126621473909,0.395974798814584,66.12066719,0.187556173526551,99.34491595
144.45702943,174.82566558,202.26760859,68.1842788186937,3.53646277313502,High,0.276976215779927,0.335203842032621,0.387819942187452,57.81057916,0.166733404035352,85.25252217
118.05658966,147.03357536,174.29029703,61.1936379562096,3.3064706887593,High,0.268688755774865,0.334638401247956,0.396672842977179,56.23370737,0.19235268077142,83.49042904
140.11535599,172.45786819,201.7468508,64.6518638800118,3.42024632165239,High,0.272428323929313,0.335312340660057,0.39225933541063,61.63149481,0.180281685386356,90.92047742
159.35331845,186.91213535,208.99997746,56.8990808179552,3.16517975891073,Normal,0.2869858440285,0.336617633346743,0.376396522624757,49.64665901,0.134780004852,71.73450112
155.22627292,182.499412,204.83801559,51.7211283556248,2.99482512290006,Normal,0.286097784968088,0.336364950011315,0.377537265020598,49.61174267,0.137785790630059,71.95034626
141.82413597,170.72076044,194.57097141,52.7097085022829,3.02734940972511,Normal,0.279668109340921,0.336650401364678,0.383681489294401,52.74683544,0.156800245552965,76.59704641
152.03122386,185.70861444,221.44878729,56.5610010913132,3.1540569359042,Normal,0.271878248059126,0.33210370515684,0.396018046784034,69.41756343,0.185866877363137,105.15773628
146.91689391,178.6710254,208.61208398,67.0014254861196,3.49754689849334,High,0.275022263206995,0.334464665480366,0.39051307131264,61.69519007,0.173530693436439,91.63624865
147.88950909,178.26999852,209.16035783,63.8485631637195,3.39381772808637,High,0.276263816528542,0.333015847214026,0.390720336257432,61.27084874,0.171603057210292,92.16120805
150.47237329,181.94039591,211.36676093,64.4770991359136,3.41449656157156,High,0.276715773493767,0.334584856231171,0.388699370275062,60.89438764,0.168291325843644,90.32075266
149.56883396,180.77537197,210.25943479,64.491781961575,3.41497962653582,High,0.276670045656366,0.334395402386183,0.388934551957451,60.69060083,0.168665461001249,90.17466365
143.65521852,175.43339324,205.85054574,62.9791244710738,3.36521319509833,High,0.27366070232625,0.334197574582727,0.392141723091023,62.19532722,0.177952221622681,92.61247972
151.9159436,184.54101139,215.99959328,59.5317881322359,3.25179582955056,Normal,0.27498261008168,0.334037150917813,0.390980239000508,64.08364968,0.174180330147084,95.54223157
149.51618118,179.41718467,207.00663415,61.4822160279808,3.31596490732057,High,0.278979328245699,0.334771027857596,0.386249643896705,57.49045297,0.161253222789645,85.07990245
